adult,original_language,popularity,runtime,title,vote_average,vote_count,Year,budget,revenue
FALSE,en,10.06545,98,Next Friday,6.5,145,2000,11,59.827328
FALSE,en,5.496624,91,Supernova,4.9,109,2000,90,14.828081
FALSE,de,0.907927,95,Isn't She Great,4.6,14,2000,36,3.003296
FALSE,en,9.738371,116,Scream 3,5.7,749,2000,40,161.834276
FALSE,en,6.370105,101,Gun Shy,5.4,24,2000,10,1.631839
FALSE,en,14.430311,119,The Beach,6.3,1271,2000,40,144.056873
FALSE,en,7.023414,77,The Tigger Movie,6.3,146,2000,30,45.554533
FALSE,en,0.06431,93,Trois,4.5,1,2000,0.2,1.160268
FALSE,en,8.518425,118,Boiler Room,6.5,202,2000,26,28.780255
FALSE,en,6.474767,94,Hanging Up,5,42,2000,40,36.037909
FALSE,en,6.424399,108,Pitch Black,6.7,1812,2000,23,53.187659
FALSE,en,12.061521,98,The Whole Nine Yards,6.3,540,2000,41.3,106.371651
FALSE,en,12.11759,124,Reindeer Games,5.3,175,2000,42,32.16897
FALSE,en,0.651625,82,3 Strikes,5.9,15,2000,6,9
FALSE,en,4.372616,96,Drowning Mona,5.4,43,2000,16,15.427192
FALSE,en,2.971999,108,The Next Best Thing,4.3,29,2000,25,24.362772
FALSE,en,9.021107,114,Mission to Mars,5.7,374,2000,90,60.874615
FALSE,en,10.135446,131,Erin Brockovich,7.1,730,2000,52,256.271286
FALSE,en,14.961416,98,Final Destination,6.4,1416,2000,23,53.302314
FALSE,en,8.369176,115,Romeo Must Die,6,334,2000,25,91.03676
FALSE,en,3.550711,94,Whatever It Takes,5.1,38,2000,15,9.902115
FALSE,en,1.241671,105,Waking the Dead,6.5,22,2000,8.5,0.327418
FALSE,en,8.524956,113,High Fidelity,7,636,2000,30,47.126295
FALSE,en,8.755188,89,The Road to El Dorado,7,892,2000,95,76.432727
FALSE,en,11.363754,106,The Skulls,5.7,160,2000,15,35.00718
FALSE,en,10.163266,118,Frequency,7,473,2000,31,68.106245
FALSE,en,3.69298,107,Ready to Rumble,4.7,51,2000,24,12.37241
FALSE,en,5.269733,115,Return to Me,6.1,68,2000,24,36.609995
FALSE,en,10.278274,128,Rules of Engagement,6,178,2000,60,71
FALSE,en,13.686715,102,American Psycho,7.3,2128,2000,7,34.266564
FALSE,en,6.045585,127,Keeping the Faith,5.9,161,2000,30,37.036004
FALSE,en,8.25719,90,Gossip,5.6,70,2000,14,5.10882
FALSE,en,5.733227,124,Love & Basketball,7.5,93,2000,20,27.728118
FALSE,en,7.879924,116,U-571,6.1,345,2000,62,127.666415
FALSE,en,6.053595,90,The Flintstones in Viva Rock Vegas,4.4,140,2000,83,59.468275
FALSE,en,5.833133,120,Where the Heart Is,6.9,159,2000,15,33.771174
FALSE,en,4.896026,90,The Big Kahuna,6.8,91,2000,7,3.728888
FALSE,en,23.186667,155,Gladiator,7.9,5566,2000,103,457.640427
FALSE,en,5.276926,118,Battlefield Earth,3,259,2000,44,21.4
FALSE,en,10.491734,115,Center Stage,6.8,95,2000,18,17.200925
